flight_id,airline,origin_airport,destination_airport,flight_day,scheduled_hour,weather_condition,passenger_count,previous_delay_minutes,security_wait_minutes,gate_changes,delayed
FL001,Emirates,KHI,ISB,Saturday,8,Clear,160.0,0.0,25.0,0,1
FL002,AirBlue,SIN,JFK,Tuesday,12,Clear,208.0,0.0,13.0,0,1
FL003,SereneAir,IST,DOH,Sunday,5,Clear,225.0,90.0,9.0,1,0
FL004,PIA,DXB,KHI,Thursday,8,Cloudy,140.0,26.0,22.0,0,1
FL005,AirBlue,LHR,JFK,Wednesday,21,Cloudy,110.0,4.0,15.0,0,1
FL006,Qatar,IST,DXB,Saturday,13,Rain,151.0,6.0,14.0,0,0
FL007,AirBlue,SIN,LHR,Monday,18,Rain,177.0,22.0,18.0,0,0
FL008,Emirates,KHI,BKK,Sunday,8,Cloudy,196.0,26.0,36.0,0,1
FL009,Turkish,DOH,BKK,Friday,8,Clear,214.0,51.0,34.0,1,0
FL010,AirBlue,ISB,DOH,Friday,20,Clear,150.0,14.0,15.0,0,1
FL011,FlyJinnah,DXB,BKK,Sunday,17,Clear,118.0,68.0,12.0,1,1
FL012,AirBlue,ISB,LHE,Saturday,16,Clear,227.0,44.0,17.0,0,0
FL013,Turkish,LHR,JFK,Tuesday,6,Cloudy,141.0,28.0,24.0,0,0
FL014,PIA,DXB,DOH,Tuesday,14,Clear,182.0,32.0,27.0,0,0
FL015,PIA,KHI,DOH,Tuesday,10,Clear,219.0,0.0,26.0,0,1
FL016,Emirates,SIN,LHR,Tuesday,7,Clear,222.0,73.0,38.0,0,1
FL017,PIA,BKK,KHI,Saturday,19,Clear,211.0,5.0,30.0,0,1
FL018,Emirates,IST,DXB,Wednesday,10,Cloudy,154.0,28.0,21.0,0,1
FL019,SereneAir,LHE,JFK,Monday,19,Clear,204.0,42.0,,1,0
FL020,Emirates,KHI,DXB,Wednesday,7,Clear,136.0,9.0,23.0,0,0
FL021,Turkish,ISB,LHE,Saturday,11,Clear,230.0,14.0,19.0,0,0
FL022,Emirates,LHE,BKK,Monday,18,Cloudy,176.0,21.0,36.0,0,1
FL023,PIA,IST,BKK,Sunday,10,Cloudy,214.0,48.0,31.0,1,0
FL024,FlyJinnah,DXB,IST,Tuesday,18,Clear,217.0,0.0,28.0,0,0
FL025,AirBlue,JFK,IST,Wednesday,19,Storm,155.0,39.0,35.0,1,1
FL026,SereneAir,ISB,LHE,Friday,11,Cloudy,144.0,36.0,8.0,0,1
FL027,Qatar,DXB,JFK,Thursday,6,Cloudy,149.0,27.0,13.0,0,0
FL028,AirBlue,DXB,LHR,Saturday,20,Cloudy,208.0,0.0,17.0,0,0
FL029,FlyJinnah,LHR,SIN,Saturday,8,Clear,220.0,0.0,35.0,0,0
FL030,Emirates,DOH,DXB,Sunday,8,Clear,166.0,34.0,30.0,0,0
FL031,AirBlue,LHE,ISB,Sunday,19,Rain,169.0,1.0,20.0,0,1
FL032,Qatar,SIN,IST,Sunday,19,Cloudy,156.0,0.0,10.0,0,1
FL033,Emirates,DOH,BKK,Thursday,16,Clear,192.0,20.0,13.0,0,0
FL034,PIA,JFK,LHR,Wednesday,14,Clear,175.0,32.0,6.0,0,1
FL035,SereneAir,DOH,LHR,Sunday,19,Rain,104.0,7.0,27.0,0,0
FL036,Emirates,LHE,SIN,Tuesday,21,Cloudy,207.0,0.0,24.0,0,1
FL037,FlyJinnah,IST,JFK,Sunday,19,Clear,202.0,8.0,10.0,0,0
FL038,Emirates,ISB,KHI,Tuesday,8,Clear,176.0,21.0,20.0,0,1
FL039,Emirates,KHI,DXB,Wednesday,6,Clear,143.0,39.0,6.0,0,0
FL040,Turkish,DOH,KHI,Sunday,21,Rain,141.0,29.0,8.0,0,0
FL041,Turkish,LHR,LHE,Thursday,7,Cloudy,134.0,0.0,26.0,0,0
FL042,PIA,DOH,SIN,Tuesday,17,Cloudy,148.0,0.0,18.0,0,1
FL043,SereneAir,SIN,ISB,Friday,20,Clear,156.0,0.0,11.0,0,1
FL044,Emirates,DXB,IST,Saturday,15,Clear,125.0,10.0,9.0,0,1
FL045,PIA,SIN,LHE,Tuesday,8,Clear,148.0,0.0,19.0,0,0
FL046,Qatar,LHE,IST,Monday,21,Cloudy,158.0,5.0,4.0,0,0
FL047,PIA,DOH,SIN,Monday,18,Clear,212.0,64.0,,1,1
FL048,AirBlue,SIN,JFK,Thursday,19,Clear,130.0,3.0,36.0,0,0
FL049,PIA,LHE,DOH,Tuesday,14,Clear,116.0,28.0,20.0,0,1
FL050,SereneAir,BKK,DXB,Thursday,7,Clear,182.0,25.0,36.0,0,0
FL051,FlyJinnah,DOH,LHR,Wednesday,13,Clear,174.0,16.0,13.0,0,0
FL052,PIA,DOH,ISB,Sunday,18,Clear,115.0,0.0,14.0,0,0
FL053,Emirates,KHI,DXB,Wednesday,11,Clear,144.0,0.0,17.0,0,0
FL054,Turkish,ISB,BKK,Thursday,11,Clear,123.0,37.0,,0,0
FL055,PIA,ISB,DOH,Saturday,7,Cloudy,149.0,11.0,26.0,0,0
FL056,Qatar,DOH,LHR,Sunday,13,Clear,144.0,16.0,5.0,0,0
FL057,SereneAir,SIN,DOH,Sunday,5,Cloudy,191.0,0.0,21.0,0,0
FL058,SereneAir,DXB,DOH,Friday,10,Rain,136.0,22.0,20.0,0,1
FL059,AirBlue,SIN,IST,Sunday,6,Rain,232.0,75.0,32.0,0,1
FL060,SereneAir,SIN,JFK,Wednesday,16,Rain,117.0,15.0,16.0,1,0
FL061,Emirates,KHI,SIN,Tuesday,17,Fog,229.0,23.0,25.0,0,0
FL062,Turkish,JFK,DXB,Thursday,19,Clear,136.0,17.0,38.0,0,1
FL063,SereneAir,BKK,DOH,Saturday,20,Cloudy,133.0,18.0,17.0,0,1
FL064,PIA,JFK,DOH,Monday,15,Cloudy,164.0,8.0,4.0,0,0
FL065,Emirates,DXB,IST,Saturday,18,Rain,156.0,72.0,31.0,1,1
FL066,AirBlue,LHE,BKK,Wednesday,14,Fog,179.0,1.0,4.0,0,0
FL067,AirBlue,JFK,BKK,Wednesday,6,Clear,163.0,23.0,14.0,0,0
FL068,FlyJinnah,ISB,BKK,Wednesday,19,Clear,230.0,26.0,22.0,0,1
FL069,PIA,DXB,BKK,Tuesday,10,Clear,220.0,5.0,9.0,0,0
FL070,SereneAir,ISB,JFK,Tuesday,11,Fog,175.0,7.0,4.0,0,1
FL071,FlyJinnah,KHI,DOH,Saturday,16,Storm,197.0,19.0,18.0,0,0
FL072,Turkish,LHE,ISB,Wednesday,19,Clear,184.0,23.0,19.0,0,1
FL073,AirBlue,DOH,ISB,Tuesday,17,Cloudy,163.0,0.0,19.0,0,1
FL074,Turkish,SIN,DOH,Thursday,16,Clear,238.0,13.0,29.0,0,1
FL075,AirBlue,DOH,BKK,Saturday,9,Storm,123.0,10.0,23.0,0,0
FL076,FlyJinnah,DXB,LHR,Wednesday,18,Clear,160.0,0.0,23.0,0,1
FL077,FlyJinnah,KHI,JFK,Sunday,7,Clear,212.0,7.0,17.0,0,1
FL078,SereneAir,BKK,DOH,Wednesday,6,Clear,189.0,31.0,11.0,0,1
FL079,Qatar,BKK,SIN,Monday,16,Cloudy,,9.0,16.0,0,1
